"roi","i2c2_m","i2c2_r","i2c2_diff","discr_m","discr_r","discr_diff","finger_m","finger_r","finger_diff"
126,0.364879489529041,0.289582531252515,0.0752969582765263,0.843930513081889,0.805130818892287,0.0387996941896025,0.155963302752294,0.284403669724771,-0.128440366972477
127,0.426626228457831,0.402150818804395,0.0244754096534367,0.886775823989127,0.817076537546721,0.0696992864424056,0.321100917431193,0.201834862385321,0.119266055045872
128,0.359374136276591,0.317847207846819,0.041526928429772,0.943100358422939,0.799248216106014,0.143852142316925,0.596330275229358,0.211009174311927,0.385321100917431
129,0.332951916590082,0.335032968308789,-0.00208105171870632,0.936198583376003,0.833557347670251,0.102641235705752,0.504587155963303,0.256880733944954,0.247706422018349
130,0.37415223878712,0.331546740476091,0.0426054983110284,0.937415052667346,0.874882659156853,0.0625323935104936,0.495412844036697,0.403669724770642,0.0917431192660551
131,0.207437885622536,0.364571063215195,-0.15713317759266,0.836010838026967,0.761627410820959,0.0743834272060079,0.201834862385321,0.155963302752294,0.0458715596330275
132,0.289063723751521,0.303754401327882,-0.0146906775763611,0.855037376826368,0.830805171530978,0.0242322052953896,0.284403669724771,0.293577981651376,-0.00917431192660551
133,0.409858670547774,0.358896504676056,0.0509621658717178,0.913098878695209,0.884790180088345,0.0283086986068638,0.394495412844037,0.403669724770642,-0.00917431192660551
134,0.393655987632343,0.370690546351846,0.0229654412804969,0.660953958545702,0.642732755691471,0.0182212028542305,0.036697247706422,0.018348623853211,0.018348623853211
135,0.383755207737305,0.38889825755561,-0.00514304981830488,0.834904858987428,0.704330190282025,0.130574668705403,0.165137614678899,0.0458715596330275,0.119266055045872
136,0.464115819273459,0.370321847374824,0.0937939718986351,0.901535423037717,0.812841355180065,0.0886940678576518,0.238532110091743,0.238532110091743,0
137,0.54293271306412,0.466329495159594,0.0766032179045256,0.97381498470948,0.918673547400612,0.0551414373088686,0.669724770642202,0.55045871559633,0.119266055045872
138,0.41789253543891,0.34478831927051,0.0731042161684001,0.944741760108733,0.831306536951698,0.113435223157034,0.577981651376147,0.330275229357798,0.247706422018349
139,0.508422174033209,0.357359350451736,0.151062823581473,0.951346415222562,0.842316513761468,0.109029901461094,0.577981651376147,0.348623853211009,0.229357798165138
140,0.510604146440825,0.37591934614239,0.134684800298435,0.965681277607883,0.88247536527353,0.0832059123343527,0.614678899082569,0.477064220183486,0.137614678899083
141,0.37761426703255,0.375732252967444,0.00188201406510663,0.948362640163099,0.869266055045872,0.0790965851172274,0.577981651376147,0.467889908256881,0.110091743119266
142,0.506100242874258,0.393168065826256,0.112932177048003,0.94614339109752,0.870561501868841,0.0755818892286783,0.55045871559633,0.477064220183486,0.073394495412844
143,0.43683017529302,0.420423573619174,0.0164066016738463,0.965851172273191,0.906526078831125,0.0593250934420659,0.743119266055046,0.605504587155963,0.137614678899083
144,0.393422129763392,0.417691789898933,-0.0242696601355405,0.952110941216446,0.915764101257221,0.0363468399592253,0.577981651376147,0.596330275229358,-0.018348623853211
145,0.417087459842493,0.463410674742515,-0.0463232149000219,0.962612555215766,0.918758494733265,0.043854060482501,0.678899082568807,0.559633027522936,0.119266055045872
146,0.408339307961243,0.436059737522223,-0.0277204295609799,0.959873003737683,0.888315494393476,0.0715575093442066,0.660550458715596,0.504587155963303,0.155963302752294
147,0.26853982187715,0.404308697907502,-0.135768876030352,0.880149932042134,0.862810057764186,0.0173398742779477,0.311926605504587,0.376146788990826,-0.0642201834862385
148,0.45304053424114,0.386916614209522,0.0661239200316183,0.963791199456337,0.93416581719334,0.0296253822629969,0.623853211009174,0.63302752293578,-0.00917431192660545
149,0.343021765043926,0.375366415861822,-0.0323446508178961,0.956156557934081,0.937160210669385,0.0189963472646959,0.715596330275229,0.660550458715596,0.055045871559633
150,0.363421771442443,0.420969520704699,-0.0575477492622555,0.969768731865506,0.922634216785593,0.0471345150799131,0.770642201834862,0.605504587155963,0.165137614678899
151,0.344903289028814,0.352101313066686,-0.0071980240378719,0.959122717187233,0.915795956506966,0.0433267606802676,0.660550458715596,0.63302752293578,0.0275229357798166
152,0.398563193621068,0.278124211738877,0.12043898188219,0.870869435949711,0.813652073732719,0.0572173622169924,0.26605504587156,0.293577981651376,-0.0275229357798165
153,0.421663973425604,0.385763121394636,0.0359008520309688,0.853901206252124,0.779221882432892,0.0746793238192321,0.192660550458716,0.201834862385321,-0.00917431192660551
154,0.483354902539675,0.26607888609018,0.217276016449495,0.900367397213727,0.740954087728281,0.159413309485446,0.311926605504587,0.128440366972477,0.18348623853211
155,0.323516687859253,0.293743423790636,0.0297732640686171,0.868908943505718,0.821556579621096,0.0473523638846219,0.247706422018349,0.238532110091743,0.00917431192660551
156,0.402656363583639,0.340026673526505,0.0626296900571341,0.933964067278288,0.78207671957672,0.151887347701568,0.357798165137615,0.192660550458716,0.165137614678899
157,0.366423757149045,0.352627184403444,0.0137965727456006,0.920912271718723,0.829834442737669,0.0910778289810548,0.458715596330275,0.284403669724771,0.174311926605505
158,0.292028319825171,0.372549032699162,-0.0805207128739911,0.933358817533129,0.840512459464072,0.0928463580690571,0.568807339449541,0.339449541284404,0.229357798165138
159,0.389551279044678,0.316831223178801,0.0727200558658769,0.943057689025431,0.812926693975081,0.13013099505035,0.541284403669725,0.284403669724771,0.256880733944954
160,0.470712724857904,0.360854900565413,0.10985782429249,0.867142371729528,0.765424987199181,0.101717384530347,0.293577981651376,0.165137614678899,0.128440366972477
161,0.259209755909607,0.321248566206601,-0.062038810296994,0.920069551117938,0.866399082568807,0.0536704685491308,0.477064220183486,0.376146788990826,0.100917431192661
162,0.292556495112355,0.372837498785995,-0.0802810036736399,0.897934801160608,0.884662759089365,0.0132720420712431,0.412844036697248,0.36697247706422,0.0458715596330275
163,0.447818380410382,0.377612550197347,0.0702058302130352,0.91273785253143,0.782343696907917,0.130394155623513,0.467889908256881,0.146788990825688,0.321100917431193
164,0.239975997196372,0.234133640429581,0.00584235676679171,0.515616999487967,0.505298589874278,0.0103184096136892,0.018348623853211,0.00917431192660551,0.00917431192660551
165,0.232221132077932,0.218277016974931,0.0139441151030003,0.524114424057085,0.553326079535757,-0.0292116554786723,0.00917431192660551,0.018348623853211,-0.00917431192660551
166,0.318400043186018,0.369512860620735,-0.0511128174347167,0.51649040095141,0.538391790407919,-0.0219013894565093,0.00917431192660551,0,0.00917431192660551
167,0.27189260521457,0.395368586948066,-0.123475981733496,0.75297619047619,0.781020651988394,-0.0280444615122034,0.100917431192661,0.128440366972477,-0.0275229357798165
168,0.212535858424928,0.358484982108412,-0.145949123683485,0.672032343403311,0.698670574243969,-0.0266382308406575,0.036697247706422,0.0642201834862385,-0.0275229357798165
169,0.334464280817016,0.410462884290025,-0.0759986034730088,0.925925925925926,0.903669724770642,0.0222562011552837,0.541284403669725,0.486238532110092,0.055045871559633
170,0.297963056347555,0.388315503445551,-0.0903524470979959,0.932296975874958,0.922251953788651,0.0100450220863065,0.44954128440367,0.422018348623853,0.0275229357798165
171,0.380723572546908,0.483302300634972,-0.102578728088064,0.922846585117227,0.933815409446143,-0.0109688243289161,0.504587155963303,0.605504587155963,-0.100917431192661
172,0.331414435613285,0.369894130485551,-0.0384796948722658,0.819805470608223,0.726012996941896,0.0937924736663269,0.211009174311927,0.0642201834862385,0.146788990825688
173,0.285330531418779,0.273425288749722,0.0119052426690568,0.741050093872675,0.688833418672128,0.0522166752005462,0.0275229357798165,0.0275229357798165,0
174,0.278164381724962,0.309603086442154,-0.0314387047171914,0.637939494794334,0.662950220863065,-0.0250107260687313,0.00917431192660551,0.0275229357798165,-0.018348623853211
175,0.281502159691026,0.347740723848356,-0.0662385641573305,0.889058783554196,0.735219164118247,0.15383961943595,0.256880733944954,0.073394495412844,0.18348623853211
176,0.298265461759468,0.280521681674849,0.0177437800846184,0.920988362215426,0.846667520054617,0.0743208421608096,0.467889908256881,0.385321100917431,0.0825688073394495
177,0.448808570697648,0.326890481943159,0.121918088754489,0.745253029527223,0.740429955418381,0.00482307410884175,0.0642201834862385,0.128440366972477,-0.0642201834862385
178,0.256722879032161,0.372652638235416,-0.115929759203255,0.765190305512886,0.705084097859327,0.0601062076535589,0.100917431192661,0.036697247706422,0.0642201834862385
179,0.280618092250789,0.328482513851675,-0.0478644216008857,0.876376088069636,0.881112391193036,-0.0047363031233999,0.339449541284404,0.504587155963303,-0.165137614678899
180,0.319054586136867,0.298494829497057,0.0205597566398104,0.846988617057424,0.860908431472948,-0.0139198144155231,0.26605504587156,0.330275229357798,-0.0642201834862385
181,0.35055624774815,0.369354085717922,-0.0187978379697722,0.803976787847756,0.809747823860727,-0.00577103601297146,0.128440366972477,0.201834862385321,-0.073394495412844
182,0.400705296390164,0.314051607342646,0.0866536890475174,0.888634046890928,0.789533196791261,0.0991008500996663,0.302752293577982,0.192660550458716,0.110091743119266
183,0.335975016843897,0.361124164778766,-0.0251491479348684,0.894435910564943,0.82947175285885,0.0649641577060932,0.330275229357798,0.284403669724771,0.0458715596330275
184,0.326221044896344,0.369646881350655,-0.0434258364543112,0.842955282471411,0.817353643966547,0.0256016385048643,0.238532110091743,0.26605504587156,-0.0275229357798165
185,0.346145325068762,0.324886757738298,0.0212585673304637,0.893113159242191,0.816436251920123,0.0766769073220686,0.357798165137615,0.275229357798165,0.0825688073394495
186,0.359408834963972,0.369532483525823,-0.0101236485618514,0.934545144222564,0.819252432155658,0.115292712066906,0.623853211009174,0.256880733944954,0.36697247706422
187,0.421597615158253,0.375808857634,0.0457887575242531,0.892594716275909,0.723284063880394,0.169310652395515,0.36697247706422,0.155963302752294,0.211009174311927
188,0.253413274582425,0.362034220912863,-0.108620946330438,0.74831455879843,0.752506827103601,-0.0041922683051715,0.0917431192660551,0.128440366972477,-0.036697247706422
189,0.281529039409065,0.37532770000608,-0.0937986605970152,0.779292541389316,0.779115698267074,0.000176843122241199,0.119266055045872,0.165137614678899,-0.0458715596330275
190,0.50125386875429,0.422047902556025,0.0792059661982644,0.956082229018009,0.882284233775059,0.0737979952429494,0.660550458715596,0.44954128440367,0.211009174311927
191,0.509582791687884,0.397880017831258,0.111702773856626,0.95399040095141,0.913311247026843,0.0406791539245667,0.577981651376147,0.495412844036697,0.0825688073394495
192,0.503625436456654,0.441466271961084,0.0621591644955704,0.97068612391193,0.916942745497791,0.0537433784141389,0.761467889908257,0.55045871559633,0.211009174311927
193,0.376985091683962,0.307639780354997,0.0693453113289658,0.88030920829086,0.812201314217443,0.0681078940734164,0.412844036697248,0.311926605504587,0.100917431192661
194,0.278052475325763,0.324593990456402,-0.0465415151306389,0.845622119815668,0.845470183486238,0.000151936329429669,0.229357798165138,0.293577981651376,-0.0642201834862385
195,0.422980748853018,0.374193111593294,0.0487876372597237,0.956071855265404,0.902246856948692,0.0538249983167118,0.568807339449541,0.541284403669725,0.0275229357798166
196,0.35337800750133,0.330538988696352,0.022839018804978,0.912602406554019,0.837824287421062,0.0747781191329578,0.412844036697248,0.284403669724771,0.128440366972477
197,0.357094517491724,0.388425943947396,-0.0313314264556714,0.918896534148828,0.873058542413381,0.0458379917354467,0.504587155963303,0.394495412844037,0.110091743119266
198,0.343041737595532,0.355533688007784,-0.0124919504122518,0.942620327700973,0.799667178699437,0.142953149001536,0.63302752293578,0.174311926605505,0.458715596330275
199,0.33786979871884,0.341359655346866,-0.00348985662802637,0.925573903396484,0.833621351766513,0.091952551629971,0.532110091743119,0.321100917431193,0.211009174311927
200,0.340930947333668,0.303140384135796,0.0377905631978717,0.931872239211689,0.812329322409968,0.119542916801721,0.467889908256881,0.284403669724771,0.18348623853211
201,0.384290541684591,0.352580784473644,0.031709757210947,0.922241335372069,0.79560291858679,0.12663841678528,0.36697247706422,0.146788990825688,0.220183486238532
202,0.31663987603466,0.399230050050157,-0.0825901740154971,0.916005291005291,0.795389571599249,0.120615719406042,0.394495412844037,0.110091743119266,0.284403669724771
203,0.354290813199054,0.292305513261284,0.0619852999377702,0.893507851169141,0.77299880525687,0.120509045912272,0.311926605504587,0.146788990825688,0.165137614678899
204,0.283686655494961,0.320695450497202,-0.0370087950022409,0.696204557091654,0.720590117767537,-0.0243855606758833,0.0275229357798165,0.0642201834862385,-0.036697247706422
205,0.470188699465133,0.351451031709238,0.118737667755895,0.955487597689433,0.910911484879375,0.0445761128100578,0.522935779816514,0.504587155963303,0.018348623853211
206,0.367207496427266,0.326487130018562,0.0407203664087044,0.948807390339648,0.903690961603806,0.0451164287358428,0.577981651376147,0.495412844036697,0.0825688073394495
207,0.337494707886916,0.374061928182996,-0.0365672202960799,0.933592422697927,0.854315324498811,0.0792770981991165,0.477064220183486,0.486238532110092,-0.00917431192660551
208,0.415607545568551,0.316518276918967,0.0990892686495835,0.910959634749957,0.820920404349303,0.0900392304006539,0.376146788990826,0.238532110091743,0.137614678899083
209,0.377404567191789,0.412142775850766,-0.0347382086589773,0.918790349983011,0.875562776078831,0.0432275739041794,0.403669724770642,0.440366972477064,-0.036697247706422
210,0.297756332073276,0.338081344130238,-0.040325012056962,0.9351318484383,0.884790180088345,0.0503416683499548,0.495412844036697,0.541284403669725,-0.0458715596330275
211,0.372692764216436,0.354699862800149,0.0179929014162875,0.877973156642881,0.837251529051988,0.0407216275908937,0.321100917431193,0.321100917431193,0
212,0.299441259681844,0.453281926754598,-0.153840667072755,0.898841525857655,0.884025654094461,0.0148158717631934,0.431192660550459,0.376146788990826,0.055045871559633
213,0.34117666795944,0.324829175016414,0.0163474929430253,0.878914917221369,0.850620115528372,0.0282948016929965,0.321100917431193,0.385321100917431,-0.0642201834862385
214,0.362394336950336,0.311196206390789,0.0511981305595468,0.886926096603516,0.869074923547401,0.0178511730561154,0.348623853211009,0.403669724770642,-0.055045871559633
215,0.383404394448855,0.350297981378928,0.033106413069927,0.904476724430853,0.874487967229903,0.0299887572009502,0.376146788990826,0.422018348623853,-0.0458715596330275
216,0.293834349424651,0.391894870964695,-0.0980605215400438,0.697215851172273,0.705015787677078,-0.00779993650480482,0.073394495412844,0.0917431192660551,-0.018348623853211
217,0.320225485064162,0.366870241369037,-0.0466447563048752,0.854444017750469,0.82563150708312,0.0288125106673495,0.220183486238532,0.321100917431193,-0.100917431192661
218,0.352100556127986,0.40297247504108,-0.0508719189130935,0.926619303635433,0.869605844376487,0.0570134592589461,0.467889908256881,0.44954128440367,0.018348623853211
219,0.311528233810262,0.30328702920895,0.00824120460131195,0.805310206519884,0.758533879501621,0.0467763270182625,0.128440366972477,0.137614678899083,-0.00917431192660551
220,0.255509806771137,0.321906574012528,-0.0663967672413907,0.753413551800649,0.739137359836901,0.0142761919637475,0.110091743119266,0.100917431192661,0.00917431192660551
221,0.284238315089583,0.384145281237578,-0.0999069661479955,0.758341867212835,0.753005011892627,0.00533685532020833,0.0917431192660551,0.137614678899083,-0.0458715596330275
222,0.339922618871221,0.259013331742514,0.0809092871287073,0.873175883256528,0.798707117255504,0.074468766001024,0.247706422018349,0.26605504587156,-0.018348623853211
223,0.288384610527458,0.38111040587747,-0.0927257953500122,0.902180406212664,0.87691131498471,0.0252690912279547,0.44954128440367,0.36697247706422,0.0825688073394495
224,0.362565282780967,0.34438037411067,0.0181849086702969,0.929638163509131,0.906727828746177,0.0229103347629538,0.477064220183486,0.532110091743119,-0.055045871559633
225,0.316569549379176,0.280547549056446,0.0360220003227301,0.917456050520567,0.869879672299027,0.0475763782215395,0.403669724770642,0.44954128440367,-0.0458715596330275
226,0.347570090338212,0.317314677463442,0.0302554128747698,0.897978253482841,0.880098993002219,0.0178792604806218,0.458715596330275,0.412844036697248,0.0458715596330275
227,0.310922914338013,0.336845899904823,-0.0259229855668101,0.876985643900781,0.852385219320703,0.0246004245800783,0.293577981651376,0.348623853211009,-0.055045871559633
228,0.408270078895806,0.37979488712872,0.0284751917670861,0.927635490995583,0.885703363914373,0.0419321270812096,0.504587155963303,0.440366972477064,0.0642201834862385
229,0.312007395520003,0.289959858665542,0.0220475368544603,0.880888376856119,0.83363201911589,0.0472563577402286,0.229357798165138,0.321100917431193,-0.0917431192660551
230,0.415564152388777,0.435661340419837,-0.0200971880310598,0.952658303464755,0.881530326197757,0.0711279772669977,0.63302752293578,0.495412844036697,0.137614678899083
231,0.3281084003132,0.358505830372107,-0.0303974300589063,0.743631592421915,0.736260454002389,0.00737113841952552,0.0642201834862385,0.073394495412844,-0.00917431192660551
232,0.293275898891534,0.331643840565949,-0.0383679416744149,0.805918245434375,0.783719491380782,0.0221987540535928,0.165137614678899,0.192660550458716,-0.0275229357798165
233,0.245621332145544,0.374178665868021,-0.128557333722476,0.718296637651476,0.748555895344886,-0.0302592576934099,0.036697247706422,0.128440366972477,-0.0917431192660551
234,0.362679493781664,0.302369011756034,0.0603104820256301,0.766982420208227,0.748439092762487,0.0185433274457395,0.110091743119266,0.155963302752294,-0.0458715596330275
235,0.243481732831509,0.380268351035552,-0.136786618204043,0.774342891278375,0.78247141150367,-0.00812852022529442,0.0825688073394495,0.137614678899083,-0.055045871559633
236,0.36870000015844,0.355587149133788,0.0131128510246519,0.88197629969419,0.827327615634067,0.0546486840601224,0.238532110091743,0.256880733944954,-0.018348623853211
237,0.344031860796889,0.396691495700153,-0.0526596349032645,0.854846245327897,0.820255162997098,0.0345910823307982,0.321100917431193,0.284403669724771,0.036697247706422
238,0.409260803478454,0.347192346691037,0.0620684567874166,0.83528712198437,0.802327556914713,0.0329595650696568,0.220183486238532,0.201834862385321,0.018348623853211
239,0.284300605481372,0.372100125380448,-0.0877995198990759,0.812926693975081,0.81015332993544,0.00277336403964112,0.192660550458716,0.26605504587156,-0.073394495412844
240,0.289437895531943,0.349302828118105,-0.0598649325861618,0.856908175456563,0.860940433521079,-0.00403225806451613,0.302752293577982,0.403669724770642,-0.100917431192661
241,0.25179590762711,0.356677517483426,-0.104881609856316,0.816308243727599,0.799269452939178,0.0170387907884209,0.155963302752294,0.284403669724771,-0.128440366972477
242,0.369742793976654,0.357998287302677,0.0117445066739775,0.920648572884811,0.910762827047231,0.00988574583758073,0.486238532110092,0.614678899082569,-0.128440366972477
243,0.432714325449177,0.336714130667606,0.0960001947815711,0.964725620115528,0.928824753652735,0.0359008664627931,0.706422018348624,0.697247706422018,0.00917431192660545
244,0.399432127923697,0.416034334002904,-0.0166022060792073,0.925341913013931,0.90217252803262,0.0231693849813115,0.477064220183486,0.44954128440367,0.0275229357798165
245,0.341440815788768,0.326677222099211,0.0147635936895568,0.749607118586476,0.73993374108053,0.00967337750594621,0.119266055045872,0.110091743119266,0.00917431192660551
246,0.442287455011305,0.381671867679373,0.060615587331932,0.902342422697927,0.903748506571087,-0.00140608387315988,0.44954128440367,0.394495412844037,0.055045871559633
247,0.443489046920171,0.400616340689026,0.0428727062311456,0.965914882772681,0.942235813795447,0.023679068977234,0.770642201834862,0.706422018348624,0.0642201834862386
248,0.41874773085693,0.397971294257205,0.0207764365997251,0.955912334352701,0.924694189602447,0.0312181447502548,0.752293577981651,0.614678899082569,0.137614678899083
249,0.390471478729403,0.399953526915259,-0.00948204818585607,0.964661909616038,0.946759259259259,0.0179026503567787,0.81651376146789,0.688073394495413,0.128440366972477
250,0.462296989740577,0.348247348558068,0.114049641182509,0.963111620795107,0.921774125042474,0.0413374957526333,0.752293577981651,0.614678899082569,0.137614678899083
